tool,scenario,metric,mean,stdev,n
ghz,A,rps,3601.8342,343.6013,8
ghz,B,rps,2589.4165,114.8919,8
ghz,C,rps,2470.5009,88.4286,8
ghz,A,avg_ms,10.8746,1.4584,8
ghz,B,avg_ms,16.4038,0.7611,8
ghz,C,avg_ms,17.2586,0.6366,8
ghz,A,p50_ms,10.4026,1.2759,8
ghz,B,p50_ms,16.2095,0.8883,8
ghz,C,p50_ms,16.9240,0.5898,8
ghz,A,p95_ms,18.1983,2.7530,8
ghz,B,p95_ms,24.7403,0.9743,8
ghz,C,p95_ms,26.1727,1.0546,8
ghz,A,p99_ms,22.9616,4.1635,8
ghz,B,p99_ms,28.7835,1.4411,8
ghz,C,p99_ms,30.6269,1.6445,8
k6,A,rps,5406.9845,39.3453,8
k6,B,rps,2556.8316,52.0196,8
k6,C,rps,2428.5169,30.1751,8
k6,A,avg_ms,5.4363,0.0390,8
k6,B,avg_ms,11.6353,0.2424,8
k6,C,avg_ms,12.2531,0.1531,8
k6,A,p50_ms,5.2386,0.0344,8
k6,B,p50_ms,11.3895,0.2003,8
k6,C,p50_ms,12.0145,0.1278,8
k6,A,p95_ms,7.7975,0.1035,8
k6,B,p95_ms,15.3208,0.3549,8
k6,C,p95_ms,16.1826,0.3338,8
k6,A,p99_ms,9.6276,0.2314,8
k6,B,p99_ms,17.8496,0.3952,8
k6,C,p99_ms,18.7694,0.4532,8
